          (   1,    5) (   2,    2) (   1,    3) (   2,    0) (   2,    2) (   1,    0) (   2,    0) (   2,    1) (   2,    0) (   1,    1)
          (   2,    0) (   2,    3) (   2,    0) (   2,    3) (   2,    1) (   2,    3) (   2,    0) (   2,    3) (   2,    5) (   1,    4)
          (   2,    0) (   2,    0) (   2,    0) (   1,    2) (   2,    0) (   1,    0) (   0,    5) (   1,    0) (   2,    0) (   2,    0)
          (   2,    0) (   2,    0) (   2,    0) (   1,    3) (   2,    5) (   1,    0) (   2,    0) (   2,    0) (   1,    0) (   1,    5)
          (   2,    0) (   2,    0) (   1,    2) (   2,    1) (   2,    0) (   2,    1) (   2,    3) (   2,    0) (   1,    0) (   2,    3)
          (   2,    5) (   2,    0) (   2,    0) (   2,    1) (   2,    1) (   2,    5) (   2,    4) (   2,    3) (   2,    0) (   2,    1)
          (   2,    1) (   2,    3) (   2,    0) (   2,    0) (   1,    1) (   2,    6) (   1,    4) (   2,    2) (   2,    0) (   2,    1)
          (   2,    1) (   2,    5) (   2,    3) (   1,    5) (   2,    0) (   2,    1) (   2,    0) (   0,    0) (   1,    5) (   1,    0)
          (   2,    0) (   2,    3) (   2,    5) (   2,    0) (   0,    0) (   2,    0) (   2,    0) (   2,    8) (   2,    4) (   2,    0)
          (   2,    0) (   2,    6) (   2,    3) (   1,    0) (   2,    0) (   1,    0) (   2,    5) (   1,    3) (   2,    5) (   1,    1)
          (   2,    0) (   2,    0) (   2,    1) (   2,    0) (   2,    3) (   2,    0) (   1,    1) (   2,    4) (   2,    0) (   2,    5)
          (   2,    1) (   2,    2) (   2,    0) (   2,    3) (   2,    6) (   2,    0) (   2,    1) (   2,    0) (   2,    1) (   2,    8)
          (   2,    1) (   2,    0) (   2,    5) (   2,    1) (   2,    0) (   2,    0) (   2,    0) (   2,    0) (   2,    0) (   2,    4)
          (   2,    8) (   2,    5) (   2,    0) (   2,    3) (   2,    5) (   2,    5) (   2,    3) (   2,    0) (   2,    3) (   2,    1)
          (   2,    0) (   2,    0) (   2,    0) (   2,    0) (   2,    0) (   2,    3) (   2,    5) (   2,    1) (   2,    1) (   2,    1)
          (   2,    3) (   2,    0) (   2,    0) (   2,    3) (   2,    0) (   2,    1) (   2,    1) (   2,    3) (   2,    0) (   2,    0)
          (   2,    1) (   2,    8) (   2,    5) (   2,    2) (   2,    5) (   2,    2) (   2,    1) (   2,    0) (   2,    1) (   2,    0)
          (   2,    0) (   2,    1) (   2,    0) (   1,    1) (   2,    6) (   2,    0) (   2,    3) (   2,    3) (   2,    5) (   2,    1)
          (   2,    5) (   2,    5) (   2,    2) (   2,    1) (   2,    0) (   2,    5) (   2,    0) (   2,    6) (   2,    0) (   2,    0)
          (   2,    0) (   2,    0) (   2,    5) (   2,    3) (   2,    5) (   2,    0) (   2,    3) (   2,    0) (   2,    0) (   2,    4)
          (   2,    0) (   2,    1) (   2,    1) (   2,    4) (   2,    0) (   2,    5) (   2,    1) (   2,    3) (   2,    0) (   2,    3)
          (   2,    6) (   2,    2) (   2,    1) (   2,    5) (   2,    1) (   2,    1) (   2,    5) (   2,    6) (   2,    5) (   2,    1)
          (   2,    0) (   2,    0) (   2,    0) (   2,    5) (   2,    0) (   2,    4) (   2,    8) (   2,    5) (   2,    0) (   2,    1)
          (   2,    0) (   2,    0) (   2,    1) (   2,    5) (   2,    3) (   2,    1) (   2,    5) (   2,    0) (   2,    0) (   2,    0)
          (   2,    0) (   2,    3) (   2,    5) (   2,    5) (   2,    0) (   2,    1) (   2,    0) (   2,    1) (   2,    0) (   2,    5)
          (   2,    0) (   2,    1) (   2,    1) (   2,    3) (   2,    0) (   2,    0) (   2,    1) (   2,    8) (   2,    5) (   2,    5)
          (   2,    1) (   2,    0) (   2,    7) (   2,    1) (   2,    5) (   2,    2) (   2,    0) (   2,    1) (   2,    0) (   2,    0)
          (   2,    0) (   2,    1) (   2,    3) (   2,    3) (   2,    5) (   2,    1) (   2,    0) (   2,    3) (   2,    1) (   2,    5)
          (   2,    5) (   2,    0) (   2,    0) (   2,    1) (   2,    0) (   2,    0) (   2,    0) (   2,    0) (   2,    5) (   2,    3)
          (   2,    5) (   2,    1) (   2,    3) (   2,    0) (   2,    0) (   2,    5) (   2,    3) (   2,    0) (   2,    1) (   2,    4)
          (   2,    0) (   2,    5) (   2,    1) (   2,    3) (   2,    0) (   2,    3) (   2,    5) (   2,    0) (   2,    1) (   2,    5)
